Start log at 2022-12-16 17:45:54.731979
Board is 11x11.
No,Player,X,Y,Time
1,naive,0,10,68000
2,yun,10,10,140000
3,naive,1,8,171000
4,yun,10,9,147000
5,naive,2,6,136000
6,yun,10,8,129000
7,naive,3,4,123000
8,yun,10,7,130000
9,naive,4,2,131000
10,yun,10,6,122000
11,naive,5,0,129000
12,yun,10,5,119000
13,naive,6,1,133000
14,yun,10,4,113000
15,naive,7,1,115000
16,yun,10,3,127000
17,naive,8,1,115000
18,yun,10,2,126000
19,naive,9,1,109000
20,yun,10,1,106000
21,naive,10,0,1955108000
22,yun,9,0,1885719000
23,naive,2,10,1948541000
24,yun,4,3,1923699000
25,naive,1,2,1957769000
26,yun,4,4,25354000
27,naive,0,2,24658000
28,yun,4,5,25354000
29,naive,8,10,1877919000
30,yun,4,6,24912000
31,naive,2,3,1784335000
32,yun,4,7,24349000
33,naive,1,3,24146000
34,yun,4,8,24662000
35,naive,0,3,25692000
36,yun,4,9,24162000
37,naive,3,3,1519889000
38,yun,-2,,8608000
0,naive,End,Illegal move,False
0,Total,38,15096488000,397276000
0,naive,19,11119287000,585225631
0,yun,19,3968078000,208846210

